level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
4,M01691,Spacer - 12x18x8,2.00,M01687,FAB - Pinion v2 - Spacer B (12x18x8) Bag,False
3,M01688,FAB- Pinion v2 - Spacer C (12x18x18) Bag,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M01692,Spacer - 12x18x18,2.00,M01688,FAB- Pinion v2 - Spacer C (12x18x18) Bag,False
3,M01549,CUB Brackets Bag,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M01379,CU-VFD-Mounting plate 3mm,4.00,M01549,CUB Brackets Bag,False
4,M00435,DIN912 M5x12 Black screw,10.00,M01549,CUB Brackets Bag,False
4,M00746,Rubber foot M4,2.00,M01549,CUB Brackets Bag,False
4,M00555,I-Type Sliding Nut M5,10.00,M01549,CUB Brackets Bag,False
3,M01545,Cable Management Bag,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M01551,SPT - Cable Holder 3d Print,18.00,M01545,Cable Management Bag,False
4,M00389,Cable Tie 100mm x 2.5 mm,28.00,M01545,Cable Management Bag,False
2,M00269,FAB - Mechanical Elements Box - FAB-B-3 (Feet & Brackets),1.00,M00965,FAB - B - Main Box 2/2,True
3,M00864,VariBox CHV27 34x26x15 simple cannelure,1.00,M00269,FAB - Mechanical Elements Box - FAB-B-3 (Feet & Brackets),False
3,M00063,Angle Bracket 60 B-Type Groove 8,46.00,M00269,FAB - Mechanical Elements Box - FAB-B-3 (Feet & Brackets),False
3,M00524,Foot D80 M12x50 + Jam nut M12 + Anti Slip,6.00,M00269,FAB - Mechanical Elements Box - FAB-B-3 (Feet & Brackets),False
3,M00488,End connection plate 30x60 for Foot M12,6.00,M00269,FAB - Mechanical Elements Box - FAB-B-3 (Feet & Brackets),False
3,M00064,Angle Bracket Simple 20x20 M5,4.00,M00269,FAB - Mechanical Elements Box - FAB-B-3 (Feet & Brackets),False
3,M01329,FAB - Angle Bracket 30 B-Type Bag,1.00,M00269,FAB - Mechanical Elements Box - FAB-B-3 (Feet & Brackets),True
4,M00062,Angle Bracket 30 B-Type Rainure 6,38.00,M01329,FAB - Angle Bracket 30 B-Type Bag,False
2,M01058,FAB - Mechanical Box - FAB-B-4 (Motion & Miscellaneous Components),1.00,M00965,FAB - B - Main Box 2/2,True
3,M00621,Linear Block - H20B,6.00,M01058,FAB - Mechanical Box - FAB-B-4 (Motion & Miscellaneous Components),False
3,M00622,Linear Block - W20A Block (Flange),4.00,M01058,FAB - Mechanical Box - FAB-B-4 (Motion & Miscellaneous Components),False
3,M00704,Nut Housing DSG16H,2.00,M01058,FAB - Mechanical Box - FAB-B-4 (Motion & Miscellaneous Components),False
3,M00511,FF12 Bearing Support,6.00,M01058,FAB - Mechanical Box - FAB-B-4 (Motion & Miscellaneous Components),False
3,M00512,FK12 Bearing Support,2.00,M01058,FAB - Mechanical Box - FAB-B-4 (Motion & Miscellaneous Components),False
3,M00270,FAB - Miscellaneous Components Bag,1.00,M01058,FAB - Mechanical Box - FAB-B-4 (Motion & Miscellaneous Components),True
4,M00078,Ball Bearing 6301-2RS 12x37x12mm,2.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00364,CNC Pro/Fab - Steels Parts - Bearing Support Offset Plate,2.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00390,"Cable Tie 200mm x 4.6 mm, Black",18.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00411,Compression Spring 14.5x9.6x1.6mm,2.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00518,Flexible Motor Coupler D25L30 - 6.35mm to 10mm,1.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00519,Flexible Motor Coupler D30L40 - 12.7mm/5ky to 10mm,1.00,M00270,FAB - Miscellaneous Components Bag,False
